,Name,Team,Season,GP,Win%,Mins,Points,PPM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,AST/TO,STL,BLK,EFG%,TS%,OFFRTG,DEFRTG,NETRTG,PF,Plusminus,PIE
0,Brook Lopez,MIL,2022,1,100.0,28.0,8.0,0.2857142857142857,3.0,9.0,33.33333333333333,2.0,4.0,50.0,0.0,0.0,,2.0,3.0,5.0,0.0,0.0,,1.0,3.0,0.4444444444444444,0.4444444444444444,117.2,115.3,1.9000000000000057,3.0,0,4.4
1,Sam Dekker,TOR,2022,1,100.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,250.0,-250.0,0.0,-5,0.0
2,Patrick Williams,CHI,2022,5,80.0,24.8,6.6,0.2661290322580645,2.6,4.6,56.52173913043478,0.6,1.2,50.0,0.8,0.8,100.0,0.2,2.0,2.2,0.6,0.4,1.5,0.6,0.4,0.6304347826086957,0.6663974151857834,104.36774193548388,99.15483870967742,5.212903225806457,1.8,12,5.75
3,DeJon Jarreau,IND,2022,1,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,200.0,100.0,100.0,0.0,2,0.0
4,Didi Louzada,NOP,2022,2,0.0,3.5,0.0,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,,1.0,0.0,1.0,0.5,0.0,inf,0.0,0.0,0.0,0.0,92.82857142857142,113.19999999999999,-20.371428571428567,0.0,-4,-4.4714285714285715
5,Michael Porter Jr.,DEN,2022,9,55.55555555555556,29.444444444444443,9.88888888888889,0.33584905660377357,4.111111111111111,11.444444444444445,35.92233009708738,1.1111111111111112,5.333333333333333,20.833333333333336,0.5555555555555556,1.0,55.55555555555556,1.0,5.555555555555555,6.555555555555555,1.8888888888888888,1.3333333333333333,1.4166666666666667,1.1111111111111112,0.2222222222222222,0.4077669902912621,0.41604338070306657,104.56716981132074,94.78867924528302,9.778490566037718,1.7777777777777777,58,7.307169811320754
6,Collin Sexton,CLE,2022,11,63.63636363636363,29.09090909090909,16.0,0.55,6.181818181818182,13.727272727272727,45.033112582781456,1.0,4.090909090909091,24.444444444444443,2.6363636363636362,3.5454545454545454,74.35897435897436,1.1818181818181819,2.090909090909091,3.272727272727273,2.090909090909091,2.8181818181818183,0.7419354838709677,0.9090909090909091,0.0,0.4867549668874172,0.5233111322549953,99.35312499999999,104.6890625,-5.335937500000014,2.272727272727273,-30,7.636562499999999
7,Sekou Doumbouya,LAL,2022,2,0.0,8.0,7.0,0.875,2.5,4.0,62.5,0.5,1.0,50.0,1.5,2.0,75.0,1.0,2.0,3.0,0.0,1.0,0.0,1.5,1.0,0.6875,0.7172131147540983,108.30000000000001,40.2,68.10000000000001,0.5,24,37.95
8,Joe Harris,BKN,2022,14,71.42857142857143,30.214285714285715,11.285714285714286,0.3735224586288416,4.0,8.857142857142858,45.16129032258064,2.9285714285714284,6.285714285714286,46.590909090909086,0.35714285714285715,0.42857142857142855,83.33333333333334,0.35714285714285715,3.642857142857143,4.0,1.0,1.1428571428571428,0.875,0.5,0.14285714285714285,0.6169354838709677,0.6238155401137081,106.83514150943397,105.56816037735848,1.266981132075486,2.2142857142857144,16,6.753537735849057
9,Frank Kaminsky,PHX,2022,9,88.88888888888889,20.22222222222222,10.555555555555555,0.521978021978022,4.0,7.333333333333333,54.54545454545454,0.5555555555555556,1.6666666666666667,33.33333333333333,2.0,2.2222222222222223,90.0,1.2222222222222223,3.3333333333333335,4.555555555555555,1.4444444444444444,0.5555555555555556,2.6,0.8888888888888888,0.7777777777777778,0.5833333333333334,0.6350267379679144,106.35109890109888,96.49450549450549,9.85659340659339,1.5555555555555556,39,18.18846153846154
10,Sam Merrill,MEM,2022,6,33.33333333333333,9.5,4.166666666666667,0.43859649122807015,1.3333333333333333,4.0,33.33333333333333,1.1666666666666667,3.8333333333333335,30.434782608695656,0.3333333333333333,0.6666666666666666,50.0,0.16666666666666666,1.0,1.1666666666666667,0.6666666666666666,0.3333333333333333,2.0,0.0,0.0,0.4791666666666667,0.4852484472049689,102.33157894736841,113.15087719298245,-10.819298245614036,0.5,-9,5.5017543859649125
11,Abdel Nader,PHX,2022,14,78.57142857142857,10.428571428571429,2.4285714285714284,0.2328767123287671,0.8571428571428571,2.5,34.285714285714285,0.2857142857142857,1.0,28.57142857142857,0.42857142857142855,0.7142857142857143,60.0,0.2857142857142857,1.6428571428571428,1.9285714285714286,0.5,0.7857142857142857,0.6363636363636364,0.5714285714285714,0.2857142857142857,0.4,0.43147208121827413,94.85342465753426,96.26575342465755,-1.4123287671232845,1.4285714285714286,-2,4.445890410958904
12,PJ Dozier,DEN,2022,18,50.0,19.0,5.388888888888889,0.28362573099415206,2.0,5.5,36.36363636363637,0.8333333333333334,2.6666666666666665,31.25,0.5555555555555556,0.7222222222222222,76.92307692307693,0.7777777777777778,2.7222222222222223,3.5,1.6111111111111112,0.7222222222222222,2.230769230769231,0.6111111111111112,0.3333333333333333,0.4393939393939394,0.4631398013750955,97.41052631578945,109.42602339181288,-12.015497076023422,1.8333333333333333,-90,6.328947368421052
